shipment_id,order_id,ship_date,ship_mode,shipping_cost
74,74,2024-07-14,Standard,24.96
75,75,2025-10-05,First Class,46.73
76,76,2025-11-18,First Class,46.04
77,77,2025-07-20,Same Day,5.3
78,78,2025-06-05,Standard,12.33
79,79,2025-07-03,Standard,10.4
80,80,2026-04-04,Same Day,19.9
81,81,2024-07-04,Second Class,7.49
82,82,2024-05-31,Standard,46.19
83,83,2025-07-27,Second Class,39.1
84,84,2026-02-16,Same Day,35.16
85,85,2024-09-09,Standard,33.81
86,86,2025-08-12,Same Day,48.31
87,87,2024-07-17,Second Class,42.23
88,88,2024-10-11,Second Class,23.02
89,89,2025-07-08,Second Class,42.6
90,90,2025-11-24,Second Class,37.64
91,91,2024-09-30,Standard,28.11
92,92,2025-03-03,Same Day,32.55
93,93,2025-12-27,Same Day,38.49
94,94,2024-09-16,First Class,13.03
95,95,2025-10-28,Second Class,17.06
96,96,2024-06-19,First Class,14.88
97,97,2025-10-22,First Class,16.29
98,98,2024-09-12,Standard,37.86
99,99,2025-04-09,First Class,6.26
100,100,2024-09-13,Second Class,26.64
101,101,2025-03-04,Standard,6.88
102,102,2026-02-16,First Class,37.85
103,103,2026-02-05,Second Class,41.58
104,104,2025-08-14,Second Class,28.09
105,105,2024-08-10,First Class,14.26
106,106,2024-08-03,First Class,9.95
107,107,2024-12-12,Same Day,37.27
108,108,2025-11-16,First Class,29.74
109,109,2024-12-18,Same Day,42.16
110,110,2024-08-19,Same Day,20.36
111,111,2025-11-08,Standard,14.15
112,112,2026-05-29,Second Class,36.16
113,113,2025-04-08,Second Class,43.58
114,114,2025-09-17,First Class,43.92
115,115,2024-12-12,Second Class,6.47
116,116,2024-09-23,Standard,42.6
117,117,2026-01-25,Second Class,23.16
118,118,2024-12-26,Same Day,41.3
119,119,2024-08-09,Second Class,5.7
120,120,2025-03-10,First Class,47.39
121,121,2026-05-03,First Class,38.04
122,122,2024-07-23,Standard,49.47
123,123,2026-01-03,Same Day,7.94
124,124,2025-05-19,Second Class,25.65
125,125,2025-03-20,Same Day,6.71
126,126,2025-12-05,Standard,13.08
127,127,2025-03-26,Second Class,42.06
128,128,2026-01-19,Standard,40.82
129,129,2024-09-23,Second Class,16.65
130,130,2024-07-22,Second Class,38.15
131,131,2025-04-21,Same Day,27.57
132,132,2024-09-05,Second Class,36.29
133,133,2025-10-19,Standard,47.46
134,134,2025-04-22,Same Day,27.17
135,135,2025-04-05,Same Day,17.41
136,136,2025-01-06,Same Day,14.61
137,137,2025-02-21,Same Day,28.02
138,138,2025-10-20,First Class,30.01
139,139,2025-01-08,Same Day,45.49
140,140,2025-01-22,Same Day,31.04
141,141,2025-11-27,Second Class,25.17
142,142,2026-03-31,Second Class,11.1
143,143,2025-07-08,Standard,31.69
144,144,2025-05-18,Same Day,22.97
145,145,2024-10-06,Same Day,40.74
146,146,2024-06-11,First Class,9.66
147,147,2026-02-03,First Class,14.74
148,148,2025-08-08,Same Day,18.21
149,149,2025-08-10,Standard,48.12
150,150,2025-08-08,Standard,23.81
151,151,2025-11-17,Standard,8.37
152,152,2025-05-08,Same Day,30.32
153,153,2026-01-03,Standard,49.6
154,154,2025-03-04,First Class,26.3
155,155,2026-01-01,Same Day,8.5
156,156,2025-01-14,Second Class,39.96
157,157,2024-12-11,First Class,15.3
158,158,2025-12-20,Same Day,21.92
159,159,2024-06-23,Standard,6.52
160,160,2026-01-13,Same Day,16.32
161,161,2025-04-12,Standard,30.45
162,162,2024-09-10,First Class,32.14
163,163,2025-04-28,Second Class,30.79
164,164,2025-08-13,Standard,31.02
165,165,2024-12-29,Standard,49.31
166,166,2024-10-30,Same Day,44.36
167,167,2025-12-27,Same Day,42.33
168,168,2025-01-01,Second Class,23.94
169,169,2026-01-30,First Class,49.04
170,170,2026-04-05,First Class,25.1
171,171,2025-10-03,Second Class,37.64
172,172,2025-07-01,Second Class,11.91
173,173,2025-11-30,Standard,49.91
174,174,2026-02-23,Second Class,42.87
175,175,2025-07-30,First Class,22.48
176,176,2024-11-20,Second Class,40.66
177,177,2024-10-18,First Class,17.49
178,178,2025-11-05,Same Day,19.48
179,179,2025-07-24,First Class,13.05
180,180,2026-03-18,Second Class,22.24
181,181,2024-11-04,Second Class,35.1
182,182,2025-06-18,Standard,43.8
183,183,2025-07-26,Same Day,19.1
184,184,2025-05-26,First Class,36.62
185,185,2025-08-28,First Class,38.09
186,186,2024-09-08,Standard,41.9
187,187,2024-10-16,Standard,46.21
188,188,2024-10-04,Second Class,31.99
189,189,2025-07-27,Standard,15.78
190,190,2025-05-17,Standard,27.15
191,191,2025-01-23,Standard,38.39
192,192,2024-06-10,Second Class,48.94
193,193,2025-08-08,Standard,43.97
194,194,2026-01-08,Same Day,16.18
195,195,2025-06-11,Standard,12.75
196,196,2025-08-12,Second Class,5.67
197,197,2025-08-08,First Class,35.99
198,198,2025-02-12,Standard,17.23
199,199,2024-06-17,Second Class,30.63
200,200,2025-11-14,Second Class,29.89
201,201,2024-10-24,Standard,44.12
202,202,2024-10-19,Second Class,44.94
203,203,2025-05-04,Standard,44.12
204,204,2024-10-14,Second Class,6.76
205,205,2025-08-22,Second Class,20.77
206,206,2025-04-24,First Class,26.72
207,207,2024-11-29,Same Day,43.67
208,208,2025-09-04,First Class,25.25
209,209,2026-01-30,First Class,45.19
210,210,2026-02-03,First Class,21.19
211,211,2025-06-06,Standard,32.44
212,212,2026-04-26,First Class,30.78
213,213,2024-06-09,First Class,11.64
214,214,2026-02-24,Same Day,18.5
215,215,2025-06-09,Same Day,6.99
216,216,2024-08-17,Second Class,41.05
217,217,2025-02-15,Standard,32.1
218,218,2025-09-09,Same Day,45.27
219,219,2025-07-25,Same Day,7.17
220,220,2025-07-26,Standard,42.72
221,221,2025-04-16,Standard,22.37
222,222,2024-06-14,First Class,26.17
223,223,2026-05-07,Same Day,14.42
224,224,2026-04-15,Same Day,8.57
225,225,2025-10-05,First Class,24.23
226,226,2026-04-29,Same Day,7.86
227,227,2025-09-03,First Class,21.45
228,228,2024-11-25,Second Class,18.89
229,229,2024-09-28,Same Day,29.95
230,230,2024-06-14,Standard,45.4
231,231,2025-01-13,Same Day,5.84
232,232,2024-07-01,Second Class,40.63
233,233,2025-09-06,Second Class,26.13
234,234,2025-07-08,Standard,47.85
235,235,2026-01-24,First Class,20.47
236,236,2025-02-19,Same Day,29.95
237,237,2025-05-29,First Class,7.26
238,238,2025-11-16,Second Class,37.83
239,239,2025-02-20,First Class,7.28
240,240,2024-12-09,Second Class,17.47
241,241,2025-12-31,Same Day,27.98
242,242,2025-09-25,First Class,21.55
243,243,2026-03-10,Second Class,25.69
244,244,2025-07-31,Second Class,32.99
245,245,2025-09-06,Standard,32.56
246,246,2025-08-02,First Class,45.56
247,247,2024-09-07,First Class,5.42
248,248,2024-11-05,First Class,19.44
249,249,2024-11-09,Standard,40.5
250,250,2025-07-10,Standard,46.54
251,251,2025-12-22,Same Day,41.58
252,252,2025-10-23,Same Day,28.68
253,253,2025-05-01,Same Day,32.12
254,254,2024-10-29,First Class,27.09
255,255,2026-01-30,Second Class,43.74
256,256,2025-10-16,Second Class,7.78
257,257,2026-02-19,Same Day,17.02
258,258,2025-11-07,Standard,38.98
259,259,2025-10-06,Second Class,22.23
260,260,2025-07-07,Second Class,28.89
261,261,2024-10-15,Standard,48.25
262,262,2026-02-02,Second Class,42.71
263,263,2026-06-01,First Class,21.74
264,264,2024-10-05,Same Day,25.54
265,265,2026-03-10,Second Class,46.22
266,266,2026-02-17,Second Class,25.39
267,267,2025-05-28,Same Day,17.84
268,268,2025-05-22,First Class,28.21
269,269,2025-03-05,Same Day,11.96
270,270,2024-09-03,Second Class,19.88
271,271,2024-06-23,First Class,19.57
272,272,2024-08-31,First Class,38.07
273,273,2025-04-13,Same Day,48.67
274,274,2024-06-17,Same Day,40.62
275,275,2025-07-27,Second Class,46.22
276,276,2025-03-11,Standard,20.61
277,277,2025-06-07,First Class,48.91
278,278,2024-06-04,Same Day,45.42
279,279,2024-08-23,Second Class,5.07
280,280,2024-09-02,Standard,17.45
281,281,2025-04-07,Same Day,38.76
282,282,2025-08-22,Second Class,16.03
283,283,2025-06-04,Standard,9.34
284,284,2024-07-31,Second Class,30.42
285,285,2024-12-12,First Class,20.98
286,286,2025-02-18,Standard,19.62
287,287,2025-02-06,Standard,41.39
288,288,2026-01-11,First Class,40.1
289,289,2025-07-23,Same Day,40.63
290,290,2025-06-18,First Class,26.86
291,291,2025-07-31,Same Day,30.07
292,292,2025-04-14,Same Day,23.71
293,293,2025-09-14,Standard,30.71
294,294,2025-07-21,Second Class,43.59
295,295,2025-07-14,First Class,28.34
296,296,2024-10-05,First Class,19.75
297,297,2025-11-11,Same Day,9.56
298,298,2024-07-06,Standard,34.08
299,299,2025-06-03,Standard,42.26
300,300,2025-09-05,Standard,30.12
301,301,2025-07-06,First Class,22.35
302,302,2025-03-23,Second Class,42.73
303,303,2024-07-11,Standard,40.02
304,304,2026-02-03,First Class,27.32
305,305,2024-08-07,Second Class,24.68
306,306,2025-08-15,Standard,39.59
307,307,2025-02-27,Second Class,48.71
308,308,2024-06-27,Standard,10.17
309,309,2025-07-16,Standard,48.21
310,310,2026-05-03,Same Day,23.84
311,311,2025-11-08,Second Class,30.37
312,312,2025-11-25,Same Day,31.09
313,313,2025-04-30,Second Class,13.7
314,314,2026-01-18,First Class,41.43
315,315,2024-07-08,First Class,25.25
316,316,2024-11-04,Second Class,8.38
317,317,2025-02-21,First Class,24.63
318,318,2025-11-08,Second Class,8.14
319,319,2024-07-27,Standard,29.37
320,320,2024-12-07,Same Day,27.83
321,321,2025-02-03,First Class,21.85
322,322,2025-05-08,Same Day,8.77
323,323,2025-02-03,Standard,28.08
324,324,2024-06-08,Second Class,5.76
325,325,2025-08-16,First Class,9.39
326,326,2025-12-30,Standard,33.03
327,327,2025-07-15,Second Class,37.66
328,328,2026-06-03,Same Day,26.75
329,329,2026-02-08,Second Class,19.37
330,330,2025-03-12,First Class,5.26
331,331,2026-05-24,Same Day,48.13
332,332,2026-02-28,Second Class,15.59
333,333,2025-05-21,Same Day,39.87
334,334,2025-02-01,First Class,44.83
335,335,2024-11-13,Second Class,28.67
336,336,2025-02-14,First Class,23.52
337,337,2025-10-10,Standard,9.02
338,338,2024-08-12,Same Day,17.82
339,339,2025-03-04,Same Day,6.59
340,340,2024-06-06,Second Class,47.06
341,341,2025-05-28,Same Day,20.27
342,342,2024-12-14,Second Class,34.18
343,343,2025-10-22,Same Day,48.46
344,344,2024-10-31,First Class,30.4
345,345,2025-06-05,Second Class,43.73
346,346,2025-05-05,First Class,5.24
347,347,2024-06-23,First Class,19.72
348,348,2025-11-27,Second Class,7.03
349,349,2025-04-14,Standard,28.2
350,350,2025-11-14,Second Class,48.43
351,351,2025-06-16,Same Day,39.77
352,352,2024-11-27,First Class,16.92
353,353,2026-05-10,Same Day,26.58
354,354,2024-12-19,Standard,5.95
355,355,2025-12-08,Second Class,38.27
356,356,2025-03-20,Standard,11.84
357,357,2024-08-11,Second Class,26.85
358,358,2024-10-18,Same Day,12.24
359,359,2025-08-12,First Class,33.85
360,360,2025-10-24,Same Day,30.36
361,361,2024-12-17,Second Class,38.09
362,362,2026-01-04,Same Day,48.78
363,363,2024-07-01,Same Day,24.9
364,364,2024-06-07,Standard,23.31
365,365,2025-03-15,Second Class,10.79
366,366,2025-02-13,Same Day,13.28
367,367,2024-09-06,Standard,19.12
368,368,2025-05-24,Standard,46.4
369,369,2025-07-18,Second Class,27.46
370,370,2024-11-27,Second Class,5.07
371,371,2025-03-19,Standard,6.78
372,372,2024-06-03,First Class,35.01
373,373,2026-03-06,Second Class,16.41
374,374,2024-11-16,Same Day,48.65
375,375,2024-07-15,First Class,44.15
376,376,2024-07-05,Standard,29.0
377,377,2025-03-24,Same Day,17.44
378,378,2025-08-06,Second Class,48.76
379,379,2025-03-21,Same Day,14.01
380,380,2024-09-20,Second Class,10.51
381,381,2025-05-28,First Class,28.07
382,382,2025-02-23,Same Day,24.61
383,383,2026-05-10,First Class,49.43
384,384,2025-04-18,Standard,44.32
385,385,2026-04-29,First Class,11.52
386,386,2024-11-01,Same Day,36.9
387,387,2026-03-31,First Class,42.08
388,388,2025-02-26,Same Day,14.84
389,389,2026-03-02,Same Day,45.41
390,390,2025-04-07,First Class,11.65
391,391,2026-01-06,Standard,16.9
392,392,2026-02-11,Same Day,48.1
393,393,2025-09-08,Same Day,38.7
394,394,2024-12-06,Second Class,8.35
395,395,2025-09-10,Second Class,21.28
396,396,2025-06-23,First Class,28.67
397,397,2026-05-21,Same Day,8.45
398,398,2026-03-26,Second Class,32.99
399,399,2025-09-29,Same Day,11.84
400,400,2026-05-23,First Class,34.54
401,401,2025-07-10,First Class,40.32
402,402,2025-11-03,Same Day,27.22
403,403,2025-02-20,Second Class,26.36
404,404,2025-09-11,Standard,29.8
405,405,2026-01-25,Standard,9.14
406,406,2024-12-05,First Class,38.63
407,407,2025-12-09,Same Day,21.26
408,408,2025-01-23,First Class,25.62
409,409,2024-07-01,First Class,17.92
410,410,2026-04-02,First Class,48.36
411,411,2025-03-28,Standard,16.59
412,412,2025-09-14,Second Class,35.18
413,413,2025-03-30,First Class,26.85
414,414,2025-03-01,First Class,46.13
415,415,2025-04-29,First Class,31.79
416,416,2025-01-30,Same Day,12.82
417,417,2024-07-15,Second Class,28.45
418,418,2025-03-29,Second Class,16.99
419,419,2024-11-26,Standard,23.22
420,420,2025-07-23,Standard,29.83
421,421,2026-05-23,Same Day,42.2
422,422,2025-03-02,Same Day,38.05
423,423,2024-08-12,Standard,26.3
424,424,2024-11-03,Same Day,42.87
425,425,2024-10-10,First Class,17.44
426,426,2025-02-08,Second Class,10.24
427,427,2026-01-16,Second Class,37.93
428,428,2025-11-16,Second Class,22.23
429,429,2025-09-26,First Class,26.11
430,430,2024-07-25,Same Day,18.64
431,431,2026-02-24,Same Day,29.35
432,432,2025-01-26,Second Class,30.98
433,433,2025-11-08,Standard,22.41
434,434,2025-07-10,Standard,35.94
435,435,2024-07-28,Standard,28.33
436,436,2025-10-17,Standard,27.28
437,437,2024-06-03,First Class,29.41
438,438,2024-09-06,Standard,44.86
439,439,2024-12-19,Same Day,17.85
440,440,2026-04-27,Same Day,39.56
441,441,2025-04-11,Second Class,15.16
442,442,2024-12-10,First Class,19.82
443,443,2024-12-18,Second Class,8.51
444,444,2024-11-19,First Class,39.84
445,445,2024-12-01,First Class,7.2
446,446,2024-11-23,First Class,24.04
447,447,2024-08-28,First Class,31.98
448,448,2025-02-20,Standard,5.08
449,449,2025-03-12,Same Day,27.51
450,450,2025-04-06,First Class,33.99
451,451,2025-01-15,First Class,43.38
452,452,2025-06-01,Second Class,13.21
453,453,2026-05-18,Same Day,20.76
454,454,2025-11-28,First Class,31.58
455,455,2024-06-06,Standard,41.86
456,456,2024-10-23,First Class,37.27
457,457,2024-10-22,First Class,34.29
458,458,2024-07-02,Same Day,35.83
459,459,2024-07-01,Standard,45.54
460,460,2024-07-11,Second Class,26.84
461,461,2024-12-11,Standard,17.15
462,462,2025-12-09,First Class,44.55
463,463,2024-09-19,Standard,10.44
464,464,2026-01-19,First Class,9.61
465,465,2025-11-15,Second Class,46.68
466,466,2024-11-07,Standard,26.78
467,467,2026-01-02,First Class,19.22
468,468,2026-01-23,Same Day,40.1
469,469,2024-10-10,First Class,35.09
470,470,2024-06-10,Same Day,24.19
471,471,2024-07-17,Standard,34.34
472,472,2025-09-08,First Class,28.64
473,473,2025-04-18,Standard,40.18
474,474,2024-11-18,Same Day,16.58
475,475,2024-09-12,Second Class,30.37
476,476,2026-02-05,Second Class,34.31
477,477,2024-06-19,Standard,49.31
478,478,2025-07-25,Second Class,36.47
479,479,2025-05-02,First Class,21.8
480,480,2025-06-15,Second Class,41.75
481,481,2024-06-10,First Class,36.76
482,482,2025-12-30,Second Class,23.91
483,483,2025-04-09,Same Day,24.86
484,484,2025-06-30,Second Class,7.71
485,485,2025-09-10,Standard,31.2
486,486,2025-01-31,Standard,48.85
487,487,2026-03-02,First Class,17.98
488,488,2026-05-13,Same Day,21.11
489,489,2025-04-20,First Class,10.05
490,490,2025-10-14,Second Class,16.41
491,491,2024-12-22,Standard,23.24
492,492,2024-12-23,Standard,43.03
493,493,2024-06-12,Same Day,8.84
494,494,2025-10-04,Standard,11.83
495,495,2025-04-18,Second Class,45.88
496,496,2024-10-07,Second Class,18.68
497,497,2025-10-05,First Class,11.36
498,498,2024-12-27,Second Class,9.88
499,499,2025-03-15,First Class,15.13
500,500,2024-12-28,Second Class,25.74
501,501,2025-12-28,Same Day,23.32
502,502,2025-10-21,Same Day,24.46
503,503,2025-08-19,First Class,43.6
504,504,2024-11-06,Second Class,28.13
505,505,2025-08-28,First Class,46.03
506,506,2024-11-22,Same Day,38.44
507,507,2025-02-20,Second Class,13.7
508,508,2024-07-13,Same Day,11.92
509,509,2025-08-05,Standard,25.41
510,510,2026-01-13,Second Class,26.57
511,511,2026-02-25,Second Class,34.98
512,512,2024-11-13,First Class,23.93
513,513,2024-10-24,Second Class,12.33
514,514,2025-12-23,First Class,8.31
515,515,2026-01-25,Second Class,49.58
516,516,2025-10-05,Same Day,33.88
517,517,2025-01-21,Same Day,45.46
518,518,2025-08-22,Second Class,28.44
519,519,2025-09-01,Second Class,11.41
520,520,2025-09-17,Second Class,25.95
521,521,2025-03-07,Same Day,30.74
522,522,2025-05-26,First Class,26.22
523,523,2025-04-17,Second Class,24.64
524,524,2025-10-11,Second Class,25.67
525,525,2024-12-14,First Class,28.92
526,526,2024-09-29,Standard,27.79
527,527,2025-04-09,First Class,38.15
528,528,2025-01-20,First Class,11.53
529,529,2025-02-04,Standard,23.15
530,530,2024-11-13,Standard,10.83
531,531,2025-12-29,Second Class,21.54
532,532,2025-01-12,Standard,43.51
533,533,2024-12-23,Standard,13.13
534,534,2025-06-04,Second Class,31.25
535,535,2026-02-25,Standard,32.97
536,536,2025-12-16,Second Class,41.93
537,537,2025-12-02,Second Class,49.28
538,538,2026-04-24,First Class,42.48
539,539,2025-07-06,Standard,45.94
540,540,2025-02-15,Standard,13.71
541,541,2024-11-08,Second Class,44.54
542,542,2024-10-07,Second Class,14.68
543,543,2024-11-24,Same Day,12.49
544,544,2024-10-17,First Class,13.88
545,545,2024-08-02,Same Day,43.89
546,546,2026-05-24,Same Day,11.09
547,547,2025-04-29,First Class,26.57
548,548,2024-06-09,First Class,35.32
549,549,2025-09-10,First Class,49.95
550,550,2026-01-05,Second Class,33.95
551,551,2025-08-02,First Class,26.72
552,552,2025-06-04,Second Class,38.4
553,553,2026-04-07,Standard,17.72
554,554,2024-10-09,Standard,17.28
555,555,2026-02-08,First Class,12.2
556,556,2024-12-03,Standard,43.46
557,557,2024-11-30,Standard,6.11
558,558,2026-01-27,Second Class,24.8
559,559,2025-01-11,First Class,43.44
560,560,2025-07-17,Same Day,31.83
561,561,2024-08-18,Standard,48.58
562,562,2024-10-09,Same Day,45.26
563,563,2024-08-23,First Class,12.42
564,564,2025-10-10,Standard,7.48
565,565,2025-09-30,Second Class,46.43
566,566,2025-11-04,First Class,44.87
567,567,2026-02-21,Standard,46.97
568,568,2024-12-30,Same Day,38.47
569,569,2025-03-07,Second Class,18.93
570,570,2024-10-26,Same Day,26.69
571,571,2024-06-07,Standard,22.11
572,572,2025-11-24,Same Day,24.1
573,573,2025-05-07,Same Day,11.64
574,574,2025-12-15,Second Class,44.56
575,575,2024-12-30,Same Day,21.32
576,576,2026-01-26,First Class,32.29
577,577,2024-08-29,Second Class,21.8
578,578,2024-08-04,Standard,30.16
579,579,2024-08-18,First Class,31.62
580,580,2025-07-27,Standard,30.71
581,581,2025-10-31,Same Day,31.91
582,582,2026-02-11,Standard,41.05
583,583,2024-07-18,Standard,16.67
584,584,2025-02-12,Same Day,5.04
585,585,2024-06-26,Standard,26.56
586,586,2024-12-28,First Class,40.06
587,587,2024-06-04,Same Day,19.16
588,588,2024-09-05,First Class,10.02
589,589,2026-03-25,Same Day,25.46
590,590,2025-06-30,Standard,48.46
591,591,2026-05-28,Same Day,27.87
592,592,2024-06-17,Second Class,29.34
593,593,2024-12-06,Standard,8.92
594,594,2025-05-10,Standard,41.22
595,595,2026-04-09,Same Day,48.78
596,596,2025-01-15,Second Class,26.84
597,597,2024-11-07,Second Class,22.09
598,598,2025-05-28,Same Day,11.55
599,599,2026-05-06,Same Day,43.22
600,600,2025-03-15,First Class,35.28
601,601,2024-11-07,Second Class,43.12
602,602,2024-07-03,First Class,42.7
603,603,2026-03-27,Second Class,45.91
604,604,2024-11-09,Standard,29.94
605,605,2025-07-15,Standard,9.89
606,606,2025-10-15,Second Class,47.22
607,607,2026-02-25,First Class,35.21
608,608,2025-05-03,Standard,39.16
609,609,2024-12-20,Standard,24.56
610,610,2025-05-06,Standard,44.82
611,611,2024-07-05,First Class,40.32
612,612,2025-05-10,Standard,24.06
613,613,2024-08-06,Second Class,36.78
614,614,2025-03-02,First Class,16.12
615,615,2025-10-16,Same Day,30.12
616,616,2025-06-22,Standard,20.19
617,617,2025-10-26,Second Class,28.04
618,618,2026-03-30,Second Class,47.1
619,619,2024-08-27,Second Class,5.93
620,620,2026-05-04,Second Class,7.01
621,621,2024-09-24,Standard,11.55
622,622,2026-05-04,First Class,17.89
623,623,2026-03-16,First Class,35.17
624,624,2024-12-13,Same Day,38.09
625,625,2025-05-03,Same Day,43.15
626,626,2024-07-27,Second Class,25.64
627,627,2025-07-23,First Class,22.21
628,628,2025-11-02,Second Class,18.98
629,629,2025-12-27,Standard,33.48
630,630,2025-10-14,Second Class,42.57
631,631,2025-11-17,First Class,22.71
632,632,2025-05-19,Same Day,40.2
633,633,2025-03-04,Standard,28.46
634,634,2024-08-08,Same Day,34.36
635,635,2024-08-27,First Class,17.79
636,636,2024-09-19,Standard,24.4
637,637,2025-12-04,Standard,35.19
638,638,2025-12-18,Standard,32.82
639,639,2025-01-01,First Class,34.87
640,640,2025-02-21,First Class,36.71
641,641,2024-06-10,Same Day,35.06
642,642,2025-07-10,First Class,21.1
643,643,2025-11-19,Second Class,14.92
644,644,2025-01-21,Second Class,12.34
645,645,2026-03-21,First Class,41.7
646,646,2026-05-21,Second Class,11.93
647,647,2026-01-20,Second Class,28.74
648,648,2025-07-05,Same Day,13.58
649,649,2025-06-24,First Class,18.71
650,650,2026-02-01,Same Day,28.81
651,651,2024-07-08,First Class,33.79
652,652,2025-11-26,Second Class,15.88
653,653,2024-06-03,First Class,5.81
654,654,2024-09-02,First Class,21.4
655,655,2026-04-12,Standard,33.03
656,656,2026-01-16,First Class,44.4
657,657,2024-10-20,Second Class,46.78
658,658,2024-11-17,First Class,10.17
659,659,2026-04-22,First Class,25.72
660,660,2024-11-16,Standard,42.62
661,661,2024-08-13,Standard,37.03
662,662,2026-04-18,Standard,22.36
663,663,2025-01-27,Same Day,18.64
664,664,2024-12-31,Standard,19.52
665,665,2024-06-22,Second Class,18.26
666,666,2024-07-12,First Class,5.79
667,667,2025-09-06,Second Class,40.64
668,668,2025-04-14,First Class,10.49
669,669,2024-08-19,First Class,16.72
670,670,2024-06-18,Second Class,37.03
671,671,2026-02-04,First Class,7.02
672,672,2026-05-05,Standard,28.05
673,673,2025-02-07,Second Class,20.94
674,674,2025-04-14,First Class,47.21
675,675,2024-11-28,First Class,43.49
676,676,2025-09-11,Second Class,41.64
677,677,2025-10-24,Standard,20.29
678,678,2025-04-23,Standard,10.68
679,679,2025-06-04,Same Day,12.08
680,680,2025-11-11,Standard,30.65
681,681,2026-02-04,Same Day,47.24
682,682,2024-12-29,Same Day,39.63
683,683,2025-02-05,Same Day,25.1
684,684,2025-07-16,Second Class,41.83
685,685,2026-05-17,Standard,38.5
686,686,2026-02-22,Standard,22.72
687,687,2025-10-11,First Class,28.82
688,688,2024-09-16,First Class,21.78
689,689,2025-09-28,Same Day,35.76
690,690,2025-03-14,Same Day,8.09
691,691,2025-09-10,First Class,28.1
692,692,2026-02-24,First Class,10.37
693,693,2026-02-21,First Class,13.37
694,694,2024-12-31,First Class,15.27
695,695,2025-04-02,First Class,14.66
696,696,2026-02-15,Second Class,41.35
697,697,2024-09-24,Standard,46.35
698,698,2026-05-08,Second Class,16.12
699,699,2025-03-10,Second Class,45.11
700,700,2025-09-24,First Class,14.15
701,701,2024-06-03,Same Day,6.36
702,702,2025-09-28,Second Class,17.43
703,703,2025-08-22,Standard,18.13
704,704,2025-09-07,Same Day,33.23
705,705,2024-12-23,Second Class,10.61
706,706,2024-10-24,First Class,14.37
707,707,2026-05-06,Second Class,21.73
708,708,2025-08-09,Standard,36.72
709,709,2025-09-19,First Class,25.78
710,710,2025-05-08,Standard,6.8
711,711,2024-08-23,Second Class,14.83
712,712,2025-05-17,Same Day,28.3
713,713,2026-03-05,Second Class,28.1
714,714,2026-05-20,Second Class,17.31
715,715,2024-07-25,Second Class,16.77
